Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
1,1,2.5141,1.0882e+03,1.5413e+03,61.03,1.7917e+02,63768.56,1.6533e+02,2498.67,0.6
2,1,1.3216,1.0458e+03,1.1715e+03,38.70,1.6119e+02,51866.37,1.4734e+02,2393.51,0.3
3,1,1.0686,9.4904e+02,8.7624e+02,29.58,1.4863e+02,44521.21,1.3325e+02,2079.74,0.3
4,1,0.8920,8.1332e+02,7.1663e+02,24.22,1.4836e+02,40575.87,1.3278e+02,2070.27,0.2
5,1,0.9313,9.0247e+02,7.4460e+02,22.68,1.3897e+02,38754.68,1.2223e+02,1904.69,0.2
6,1,0.8232,8.2120e+02,7.2650e+02,25.26,1.4602e+02,41662.07,1.2977e+02,1976.61,0.2
7,1,0.7546,6.2255e+02,6.6479e+02,21.95,1.5275e+02,34036.36,1.3583e+02,2041.86,0.2
8,1,0.7008,6.4422e+02,5.9847e+02,21.55,1.4786e+02,38201.86,1.3124e+02,1981.41,0.2
9,1,0.6875,7.8896e+02,6.6720e+02,21.36,1.4492e+02,41938.92,1.2912e+02,2033.25,0.2
10,1,0.6672,6.5402e+02,5.7332e+02,19.52,1.3828e+02,33561.44,1.2136e+02,1891.30,0.3
11,1,0.6982,6.5662e+02,6.9819e+02,24.55,1.5575e+02,42309.82,1.4025e+02,2216.56,0.3
12,1,0.7601,8.2706e+02,6.4323e+02,19.15,1.4168e+02,40832.13,1.2556e+02,1993.00,0.2
13,1,0.6325,6.2887e+02,5.1764e+02,18.16,1.4238e+02,35151.90,1.2592e+02,1965.69,0.2
14,1,0.5762,5.5809e+02,4.9266e+02,17.87,1.4542e+02,36633.48,1.2886e+02,1972.91,0.2
15,1,0.5942,4.4940e+02,4.1958e+02,16.35,1.4914e+02,37368.87,1.3287e+02,2033.86,0.2
16,1,0.5760,4.9673e+02,5.0984e+02,17.10,1.5376e+02,34766.80,1.3762e+02,2114.42,0.3
17,1,0.5379,4.5070e+02,4.0201e+02,15.80,1.5012e+02,38050.13,1.3391e+02,2052.26,0.3
