Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
1,1,1.9529,1.1030e+03,1.3229e+03,34.86,3.5235e+01,2222.51,5.1458e+00,60.84,0.9
2,1,1.4084,1.0004e+03,8.3695e+02,18.92,5.1692e+01,841.29,2.6886e+00,33.70,0.2
3,1,0.9867,7.7690e+02,5.4133e+02,12.38,2.3193e+01,1274.28,2.0266e+00,24.96,0.2
4,1,0.7839,6.6779e+02,4.0793e+02,9.10,2.2809e+01,487.66,1.7800e+00,23.21,0.2
5,1,0.6176,7.1157e+02,3.7109e+02,7.06,2.0623e+01,113.04,1.5898e+00,18.78,0.2
6,1,0.4650,7.4411e+02,3.9844e+02,6.19,1.1918e+01,304.01,1.4628e+00,16.15,0.2
7,1,0.3494,5.2598e+02,2.8241e+02,5.42,1.3021e+01,887.57,1.1008e+00,13.79,0.2
8,1,0.2802,5.1460e+02,2.4778e+02,4.32,8.8898e+00,332.79,1.0407e+00,15.35,0.2
9,1,0.2545,5.6216e+02,2.6542e+02,4.63,8.9311e+00,755.02,9.4178e-01,11.70,0.2
10,1,0.2516,5.1976e+02,2.3851e+02,4.17,7.5408e+00,404.00,8.2086e-01,12.23,0.2
11,1,0.2236,4.8787e+02,2.1925e+02,3.93,7.4235e+00,494.63,6.8531e-01,10.24,0.2
12,1,0.2430,6.0088e+02,2.8763e+02,4.51,8.0909e+00,482.89,1.0467e+00,11.15,0.2
13,1,0.2417,6.0731e+02,2.6265e+02,3.86,7.5882e+00,338.99,9.7619e-01,9.95,0.2
14,1,0.2329,4.3553e+02,2.3653e+02,3.91,7.4470e+00,426.74,9.3051e-01,11.48,0.2
15,1,0.1841,4.7075e+02,1.8234e+02,3.02,7.0270e+00,397.50,4.5240e-01,7.29,0.2
16,1,0.1624,3.7547e+02,1.4371e+02,2.51,5.7796e+00,379.97,8.0307e-01,7.89,0.2
17,1,0.1542,2.6202e+02,1.2712e+02,2.54,4.3385e+00,316.96,1.2459e+00,7.56,0.2
18,1,0.1680,4.2801e+02,2.0600e+02,3.31,7.9831e+00,381.43,6.5742e-01,8.41,0.2
19,1,0.1664,2.2651e+02,1.7219e+02,3.22,5.8477e+00,169.80,1.0475e+00,7.96,0.2
20,1,0.1559,2.2382e+02,1.2728e+02,2.54,3.6261e+00,222.86,7.2783e-01,6.63,0.2
21,1,0.1592,2.0128e+02,1.3050e+02,2.46,3.6708e+00,390.00,8.4399e-01,7.88,0.2
22,1,0.1556,2.0442e+02,1.8501e+02,3.72,5.0940e+00,341.27,8.6869e-01,7.80,0.2
23,1,0.1625,3.1088e+02,1.6006e+02,2.77,4.6087e+00,456.13,4.6836e-01,7.11,0.2
24,1,0.1542,6.7975e+02,3.8020e+02,4.17,1.0949e+01,199.84,1.7225e+00,9.86,0.2
25,1,0.1577,2.4360e+02,1.0701e+02,2.02,4.5425e+00,230.87,3.7759e-01,6.11,0.2
26,1,0.1370,1.9262e+02,7.8970e+01,1.69,3.4049e+00,186.44,2.9374e-01,4.50,0.2
27,1,0.1205,2.1509e+02,1.0984e+02,1.93,4.7708e+00,211.75,4.1815e-01,5.56,0.2
28,1,0.1438,4.2041e+02,2.2194e+02,3.13,6.9623e+00,158.38,5.9102e-01,5.89,0.2
29,1,0.1464,2.0731e+02,9.9235e+01,2.13,7.0445e+00,203.49,4.2164e-01,5.15,0.1
30,1,0.1421,2.9426e+02,1.6119e+02,2.59,4.5835e+00,90.24,4.2866e-01,6.22,0.2
31,1,0.1296,1.5620e+02,8.3826e+01,1.82,3.3586e+00,189.99,2.8283e-01,4.32,0.2
32,1,0.1352,2.7518e+02,1.5291e+02,2.49,4.6743e+00,141.70,4.4083e-01,6.29,0.2
33,1,0.1270,2.7990e+02,1.8381e+02,2.66,2.5876e+00,108.02,5.6226e-01,7.22,0.2
34,1,0.1261,2.5929e+02,1.4236e+02,2.37,4.5082e+00,159.76,3.9392e-01,5.16,0.2
35,1,0.1259,8.2382e+01,7.6392e+01,2.15,2.1481e+00,90.45,2.7110e-01,4.53,0.2
36,1,0.1173,2.4478e+02,1.4458e+02,2.11,4.6926e+00,98.99,4.7390e-01,5.83,0.2
37,1,0.1385,2.4512e+02,1.2074e+02,1.96,3.5024e+00,130.95,4.4814e-01,5.50,0.2
38,1,0.1389,2.0983e+02,8.4449e+01,1.28,2.8249e+00,80.33,4.0314e-01,5.25,0.2
39,1,0.1104,2.0959e+02,1.1829e+02,1.62,5.0834e+00,83.96,3.4781e-01,4.44,0.2
40,1,0.1173,1.7776e+02,9.7506e+01,1.51,2.1401e+00,94.78,4.4989e-01,4.79,0.2
