Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
1,1,1.7385,1.0543e+03,9.4931e+02,23.11,4.1473e+01,12810.55,1.6894e+02,2789.78,0.4
2,1,0.9855,9.0657e+02,7.2332e+02,15.57,3.8878e+01,11091.38,1.7525e+02,3042.47,0.2
3,1,0.6107,7.7928e+02,4.0671e+02,7.35,3.1973e+01,10799.00,1.6470e+02,2722.22,0.2
4,1,0.4060,8.1691e+02,4.0524e+02,5.35,3.3755e+01,11874.36,1.6225e+02,2659.68,0.2
5,1,0.3147,6.4551e+02,2.8092e+02,4.98,3.3006e+01,11965.16,1.7410e+02,2836.20,0.2
6,1,0.3055,5.2387e+02,3.4507e+02,6.46,3.4804e+01,11280.01,1.9699e+02,3252.19,0.2
7,1,0.2650,6.5986e+02,2.7850e+02,3.72,3.2211e+01,11661.05,1.6976e+02,2762.98,0.2
8,1,0.2055,4.5786e+02,2.8328e+02,4.35,3.3474e+01,11387.34,1.9903e+02,3105.87,0.2
9,1,0.2704,6.0265e+02,2.6577e+02,3.83,3.3145e+01,11571.35,1.7417e+02,2886.12,0.2
10,1,0.2671,4.3844e+02,2.6148e+02,4.58,3.3665e+01,11196.04,1.9405e+02,3135.92,0.2
11,1,0.2241,6.4318e+02,2.6522e+02,3.32,3.2432e+01,11698.12,1.7086e+02,2781.32,0.2
12,1,0.1486,5.1893e+02,1.8085e+02,2.24,3.0891e+01,11448.45,1.7573e+02,2856.82,0.2
13,1,0.1322,3.6073e+02,1.2829e+02,2.55,3.0269e+01,11355.08,1.8017e+02,2891.53,0.2
14,1,0.1730,4.4838e+02,1.6579e+02,2.60,3.1726e+01,11481.29,1.7979e+02,2925.80,0.2
15,1,0.1737,5.3225e+02,2.1390e+02,2.76,3.0565e+01,11405.87,1.7350e+02,2817.68,0.2
16,1,0.1951,6.4717e+02,2.8754e+02,3.07,3.1884e+01,11600.56,1.6743e+02,2737.94,0.2
