Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
1,1,3.1761,1.1089e+03,1.1813e+03,39.62,1.0961e+02,54180.88,1.2919e+02,2034.38,0.5
2,1,1.3199,9.4053e+02,9.3837e+02,29.74,1.0244e+02,34156.40,1.2525e+02,2005.77,0.2
3,1,1.0418,9.2571e+02,8.5712e+02,26.84,1.0172e+02,36506.59,1.2524e+02,2003.29,0.2
4,1,0.9270,9.9762e+02,8.7805e+02,27.37,1.0605e+02,40712.65,1.2934e+02,1994.83,0.2
5,1,0.8900,8.9752e+02,8.0992e+02,24.92,9.3333e+01,35699.84,1.1739e+02,1791.19,0.2
6,1,0.8552,8.5363e+02,8.1825e+02,26.92,1.0278e+02,41893.57,1.2785e+02,1972.79,0.2
7,1,0.8573,9.0185e+02,7.9232e+02,24.62,9.5130e+01,39026.38,1.1859e+02,1825.06,0.2
8,1,0.8017,8.2287e+02,7.6169e+02,24.37,9.9140e+01,37199.43,1.2494e+02,1934.42,0.2
9,1,0.7874,8.3346e+02,7.5998e+02,25.26,9.5857e+01,40794.24,1.2092e+02,1830.16,0.2
10,1,0.8011,7.6773e+02,7.1766e+02,21.89,9.9795e+01,37448.11,1.2700e+02,1972.76,0.2
11,1,0.7742,7.6213e+02,7.0007e+02,20.35,9.3143e+01,33494.01,1.2054e+02,1843.44,0.2
12,1,0.7354,5.5070e+03,2.3929e+03,35.45,1.7237e+02,29069.49,2.0262e+02,2659.49,0.2
13,1,1.1112,8.8566e+02,8.8953e+02,25.07,1.1152e+02,39417.78,1.3908e+02,2277.94,0.2
14,1,0.9474,9.6873e+02,8.0355e+02,22.16,9.2900e+01,39265.33,1.1537e+02,1800.14,0.2
15,1,0.8775,8.8109e+02,8.2815e+02,26.70,1.0477e+02,43022.26,1.2931e+02,2011.59,0.2
16,1,0.8380,8.8019e+02,7.3488e+02,21.09,9.5172e+01,38308.72,1.1980e+02,1864.63,0.2
17,1,0.7814,9.0552e+02,7.3060e+02,19.63,9.0381e+01,37538.20,1.1411e+02,1770.00,0.2
18,1,0.7481,8.4235e+02,6.8261e+02,18.13,9.2351e+01,36355.45,1.1732e+02,1810.24,0.2
19,1,0.7539,8.1661e+02,7.6081e+02,25.98,1.0190e+02,40723.13,1.2763e+02,1958.96,0.2
20,1,0.7377,8.2547e+02,7.7353e+02,26.79,1.0266e+02,44234.40,1.2755e+02,1943.66,0.2
21,1,0.8600,7.5591e+02,9.0762e+02,36.37,1.1519e+02,48570.82,1.4236e+02,2168.23,0.2
22,1,0.8805,8.5413e+02,7.2869e+02,22.57,9.4845e+01,39506.79,1.1944e+02,1821.92,0.2
23,1,0.7429,8.5474e+02,7.1594e+02,19.85,1.0481e+02,35748.59,1.3369e+02,2027.77,0.2
24,1,0.7296,8.8731e+02,7.1759e+02,19.50,9.0376e+01,37711.87,1.1489e+02,1780.69,0.2
25,1,0.7089,7.7801e+02,6.3611e+02,15.68,9.2860e+01,37453.20,1.1995e+02,1906.69,0.2
26,1,0.6255,7.9324e+02,5.8031e+02,14.69,8.9898e+01,38077.08,1.1660e+02,1825.76,0.2
27,1,0.5658,5.9455e+02,4.8470e+02,12.33,9.4021e+01,40221.60,1.2312e+02,1867.83,0.2
28,1,0.6863,6.3225e+02,1.0145e+03,45.62,1.3057e+02,59426.98,1.5965e+02,2452.75,0.2
29,1,0.6987,7.5217e+02,5.7626e+02,15.11,9.0375e+01,35325.45,1.1919e+02,1986.29,0.2
30,1,0.5869,6.0685e+02,5.1667e+02,15.54,1.0214e+02,37054.23,1.3159e+02,2032.32,0.2
31,1,0.6522,7.5745e+02,5.4555e+02,13.82,8.9216e+01,38716.70,1.1639e+02,1807.04,0.2
32,1,0.4988,7.7482e+02,5.8149e+02,14.67,8.1227e+01,32851.75,1.0848e+02,1760.01,0.2
33,1,0.5949,7.3148e+02,5.0606e+02,11.76,1.0636e+02,39177.22,1.3653e+02,2121.01,0.2
34,1,0.4629,6.3395e+02,5.2500e+02,14.93,1.0421e+02,43276.49,1.3365e+02,2149.31,0.2
35,1,0.4623,7.1152e+02,5.5809e+02,16.06,9.4958e+01,42952.70,1.2282e+02,1929.13,0.2
36,1,0.5328,6.8007e+02,4.8172e+02,11.77,8.6842e+01,33838.18,1.1563e+02,1867.85,0.2
37,1,0.4589,6.5873e+02,4.6748e+02,14.56,9.6930e+01,43421.85,1.2566e+02,1981.81,0.2
38,1,0.4119,6.0126e+02,3.8451e+02,8.45,8.7600e+01,36389.47,1.1770e+02,1865.87,0.2
39,1,0.4162,5.1559e+02,3.3453e+02,8.36,9.0290e+01,35480.24,1.2108e+02,1916.40,0.2
40,1,0.5266,6.1352e+02,6.2156e+02,23.65,1.0977e+02,47410.20,1.3888e+02,2190.48,0.2
41,1,0.5360,7.2030e+02,5.0593e+02,11.75,8.4608e+01,33971.54,1.1306e+02,1800.90,0.2
42,1,0.4505,5.2793e+02,3.4805e+02,9.09,9.3295e+01,38915.24,1.2421e+02,1982.78,0.2
43,1,0.4573,6.4691e+02,5.1076e+02,15.97,9.5509e+01,42618.21,1.2425e+02,1927.32,0.2
44,1,0.4463,8.8624e+02,6.5889e+02,14.35,8.6785e+01,40708.17,1.1246e+02,1771.78,0.2
45,1,0.5699,6.0433e+02,4.1034e+02,10.56,8.8555e+01,33270.81,1.1846e+02,1887.97,0.2
46,1,0.4463,6.3381e+02,5.9018e+02,20.15,9.9916e+01,45668.46,1.2976e+02,2033.31,0.2
47,1,0.4834,7.1500e+02,4.8194e+02,9.94,8.2498e+01,34500.57,1.1094e+02,1781.43,0.2
48,1,0.4122,7.7855e+02,4.7496e+02,10.96,1.1426e+02,38453.59,1.4504e+02,2232.75,0.2
49,1,0.4635,5.4940e+02,4.3209e+02,11.89,1.0165e+02,41074.46,1.3294e+02,2166.26,0.2
50,1,0.4083,5.2174e+02,3.6509e+02,8.96,9.6232e+01,35052.20,1.2765e+02,2075.83,0.2
51,1,0.4673,5.3944e+02,4.4651e+02,13.69,9.6910e+01,41127.73,1.2681e+02,1976.27,0.2
52,1,0.4325,5.7708e+02,4.1502e+02,9.43,9.5441e+01,36225.24,1.2670e+02,2069.25,0.2
53,1,0.3715,4.5816e+02,2.8897e+02,7.31,9.4664e+01,36250.23,1.2544e+02,1971.98,0.2
54,1,0.3382,4.8297e+02,3.1980e+02,7.82,8.9858e+01,35328.84,1.2032e+02,1884.17,0.2
55,1,0.4786,8.3016e+02,5.7966e+02,13.99,9.0356e+01,41423.89,1.1692e+02,1864.45,0.2
56,1,0.4497,5.2112e+02,3.5332e+02,8.69,9.2554e+01,33486.33,1.2334e+02,1958.52,0.2
57,1,0.4193,1.5913e+03,8.7659e+02,13.30,1.3179e+02,39270.03,1.6325e+02,2478.60,0.2
58,1,0.6034,7.5530e+02,4.9865e+02,10.28,8.4274e+01,33915.84,1.1163e+02,1791.66,0.2
59,1,0.5007,7.7300e+02,5.1404e+02,12.77,9.2417e+01,39702.22,1.1925e+02,1890.18,0.2
60,1,0.4011,5.1118e+02,3.5391e+02,7.95,9.6453e+01,38537.12,1.2734e+02,1997.59,0.2
61,1,0.3027,4.9876e+02,3.2362e+02,7.74,9.1367e+01,39136.75,1.2206e+02,1945.02,0.2
62,1,0.2709,4.6214e+02,2.7607e+02,6.42,8.9571e+01,36427.62,1.2069e+02,1937.02,0.2
63,1,0.2721,5.3536e+02,2.9517e+02,6.20,8.9848e+01,37009.16,1.2046e+02,1935.41,0.2
64,1,0.3910,5.9657e+02,3.1762e+02,6.44,1.0402e+02,36965.68,1.3486e+02,2083.85,0.2
65,1,0.4511,7.8988e+02,6.1482e+02,17.29,9.4822e+01,41849.68,1.2207e+02,1928.64,0.2
66,1,0.5100,7.1111e+02,4.3428e+02,9.46,8.6701e+01,34368.36,1.1487e+02,1831.31,0.2
67,1,0.3744,5.1276e+02,3.4840e+02,8.91,1.0121e+02,39632.95,1.3220e+02,2119.54,0.2
68,1,0.3148,4.5401e+02,2.5073e+02,6.20,9.2147e+01,36664.65,1.2339e+02,1979.28,0.2
69,1,0.2561,4.2644e+02,2.4542e+02,5.90,9.4558e+01,35364.74,1.2574e+02,2004.73,0.2
70,1,0.2241,4.4638e+02,2.1816e+02,5.28,9.2292e+01,36019.07,1.2357e+02,1988.70,0.2
71,1,0.2972,4.1996e+02,3.2058e+02,9.93,9.2776e+01,32147.00,1.2416e+02,1986.69,0.2
72,1,0.4384,4.8548e+02,3.3803e+02,7.48,9.3410e+01,35157.23,1.2504e+02,2051.26,0.2
73,1,0.4082,7.0905e+02,4.6662e+02,8.52,1.1129e+02,37891.18,1.4216e+02,2239.17,0.2
74,1,0.4036,5.1273e+02,2.9641e+02,6.42,9.5063e+01,37599.07,1.2587e+02,1994.47,0.2
75,1,0.3578,7.0124e+02,4.7605e+02,9.16,8.0250e+01,33905.58,1.0916e+02,1750.23,0.2
76,1,0.3811,4.7587e+02,3.4977e+02,8.84,9.3317e+01,34464.61,1.2508e+02,2035.06,0.2
77,1,0.3133,4.6389e+02,2.6897e+02,6.43,8.9152e+01,35688.75,1.2012e+02,1920.30,0.2
78,1,0.2529,5.3707e+02,3.2856e+02,6.24,8.6719e+01,36476.49,1.1736e+02,1872.33,0.2
79,1,0.2973,4.4679e+02,2.4608e+02,6.88,9.4626e+01,37165.92,1.2524e+02,1967.99,0.2
80,1,0.2647,5.5581e+02,3.4648e+02,7.61,1.1080e+02,37983.88,1.4188e+02,2214.35,0.2
81,1,0.2702,4.3771e+02,2.6429e+02,8.42,9.7377e+01,39019.48,1.2815e+02,2023.68,0.2
82,1,0.2046,3.9728e+02,1.8840e+02,4.97,9.5147e+01,37421.35,1.2607e+02,1996.23,0.2
83,1,0.1968,3.5514e+02,1.7812e+02,5.19,9.8405e+01,36420.15,1.2931e+02,2005.05,0.2
84,1,0.1844,4.3079e+02,2.1988e+02,5.25,9.3944e+01,37513.31,1.2496e+02,1992.43,0.2
85,1,0.2011,4.3045e+02,3.0060e+02,8.71,9.4473e+01,38894.48,1.2495e+02,1936.63,0.2
86,1,0.2575,4.2961e+02,1.9662e+02,4.55,9.6063e+01,36374.75,1.2734e+02,2053.74,0.2
87,1,0.2023,4.5928e+02,2.2983e+02,4.84,1.0513e+02,36664.10,1.3604e+02,2106.65,0.2
88,1,0.2206,4.1364e+02,2.7870e+02,7.04,9.9781e+01,33755.86,1.3123e+02,2079.95,0.2
89,1,0.2162,4.7397e+02,2.3978e+02,4.76,1.0327e+02,35168.02,1.3447e+02,2073.89,0.2
90,1,0.1496,4.0601e+02,1.8317e+02,4.18,9.3247e+01,36831.47,1.2433e+02,1980.50,0.2
91,1,0.1427,3.4093e+02,1.4535e+02,4.47,9.8530e+01,36775.85,1.2954e+02,2040.99,0.2
92,1,0.1523,3.6431e+02,1.6881e+02,4.02,1.0138e+02,35860.89,1.3241e+02,2074.27,0.2
93,1,0.1337,3.2458e+02,1.2415e+02,3.53,9.6071e+01,35331.77,1.2729e+02,2015.51,0.2
94,1,0.1338,3.5873e+02,1.5047e+02,3.60,9.3895e+01,35414.30,1.2506e+02,1999.07,0.2
95,1,0.1533,3.1866e+02,1.4367e+02,4.36,9.5721e+01,34089.30,1.2695e+02,1997.02,0.2
96,1,0.1568,3.7035e+02,1.3442e+02,3.45,1.0114e+02,36357.05,1.3230e+02,2061.31,0.2
97,1,0.1695,4.7489e+02,2.9881e+02,7.43,9.3307e+01,37987.68,1.2389e+02,1963.75,0.2
98,1,0.2405,5.1582e+02,2.7337e+02,4.99,8.9619e+01,35784.69,1.2041e+02,1928.30,0.2
99,1,0.2405,3.3551e+02,1.5583e+02,4.10,9.6952e+01,34388.19,1.2824e+02,2034.43,0.2
100,1,0.1982,3.7198e+02,1.9272e+02,5.65,1.0415e+02,38444.85,1.3521e+02,2116.34,0.2
101,1,0.1922,3.4626e+02,1.4885e+02,3.89,9.4559e+01,34964.86,1.2579e+02,2007.37,0.2
102,1,0.1353,3.6955e+02,1.5496e+02,3.58,9.3373e+01,35405.46,1.2436e+02,1975.14,0.2
103,1,0.1274,3.5415e+02,1.2202e+02,3.40,9.8527e+01,35377.08,1.2955e+02,2011.62,0.2
104,1,0.1590,3.8322e+02,1.5712e+02,4.54,9.7376e+01,37273.30,1.2824e+02,2046.77,0.2
105,1,0.1308,3.2784e+02,1.3786e+02,4.12,9.8496e+01,37381.04,1.2943e+02,2006.24,0.2
106,1,0.1954,3.2519e+02,1.3876e+02,3.49,9.7026e+01,34888.58,1.2803e+02,1999.26,0.2
107,1,0.1179,3.0770e+02,1.0255e+02,3.01,9.7647e+01,35772.71,1.2870e+02,2022.50,0.2
108,1,0.1189,3.3312e+02,1.8533e+02,4.94,9.4981e+01,36742.94,1.2587e+02,1968.18,0.2
109,1,0.1439,3.3393e+02,1.7020e+02,4.11,9.2164e+01,34910.27,1.2305e+02,1924.51,0.2
110,1,0.1688,3.2038e+02,1.3628e+02,3.39,1.0007e+02,35123.48,1.3117e+02,2063.15,0.2
111,1,0.1290,3.5378e+02,1.4660e+02,3.34,9.4979e+01,36644.54,1.2618e+02,2014.52,0.2
112,1,0.1544,4.8556e+02,2.3476e+02,4.13,1.0442e+02,34595.09,1.3561e+02,2095.17,0.2
113,1,0.1879,3.0702e+02,1.3923e+02,3.96,9.6849e+01,34404.75,1.2813e+02,2027.44,0.2
114,1,0.1251,3.6059e+02,1.6879e+02,3.90,9.1698e+01,34470.76,1.2297e+02,1978.50,0.2
115,1,0.1258,3.1461e+02,1.4855e+02,4.66,9.7113e+01,36531.04,1.2790e+02,1993.79,0.2
116,1,0.1049,3.1832e+02,1.0081e+02,2.57,9.5681e+01,35327.44,1.2689e+02,2014.97,0.2
117,1,0.0996,3.0490e+02,1.0488e+02,2.78,9.6212e+01,35577.15,1.2722e+02,2000.83,0.2
118,1,0.0881,3.2402e+02,1.2571e+02,2.96,9.5016e+01,35751.58,1.2604e+02,1990.45,0.2
119,1,0.1211,3.0046e+02,9.0846e+01,2.92,9.8659e+01,36014.13,1.2981e+02,2047.10,0.2
120,1,0.0935,3.0859e+02,1.1024e+02,2.72,9.5261e+01,35072.20,1.2633e+02,1991.09,0.2
121,1,0.0839,3.3942e+02,1.2719e+02,2.70,1.0113e+02,35258.50,1.3232e+02,2068.62,0.2
122,1,0.1043,2.9615e+02,7.7927e+01,2.18,9.8152e+01,35517.86,1.2933e+02,2037.87,0.2
123,1,0.0648,3.3229e+02,9.9369e+01,2.34,9.9865e+01,34841.96,1.3102e+02,2044.09,0.2
124,1,0.0711,3.0732e+02,1.0995e+02,2.88,9.6184e+01,35583.25,1.2704e+02,1993.85,0.2
125,1,0.0894,3.7018e+02,1.6667e+02,3.24,9.3451e+01,35873.59,1.2448e+02,1977.11,0.2
126,1,0.1338,3.0128e+02,8.3878e+01,2.26,9.8183e+01,35060.59,1.2926e+02,2041.59,0.2
127,1,0.1196,5.1440e+02,2.1987e+02,3.17,1.0580e+02,35102.30,1.3711e+02,2121.30,0.2
128,1,0.1281,3.5107e+02,1.4048e+02,2.96,9.4761e+01,36071.55,1.2570e+02,1991.08,0.2
129,1,0.0858,2.9791e+02,8.6484e+01,2.86,9.8822e+01,36142.33,1.2983e+02,2036.42,0.2
130,1,0.0803,3.2632e+02,1.0201e+02,2.46,9.8510e+01,34696.98,1.2980e+02,2038.36,0.2
131,1,0.0663,3.2592e+02,1.2584e+02,2.62,9.4310e+01,35095.54,1.2540e+02,1988.71,0.2
132,1,0.0964,2.9515e+02,8.6357e+01,2.82,1.0012e+02,36108.64,1.3124e+02,2063.32,0.2
133,1,0.0817,3.0409e+02,1.1554e+02,2.50,9.5137e+01,35416.38,1.2617e+02,1988.77,0.2
134,1,0.0813,4.0197e+02,1.3711e+02,2.42,1.0216e+02,35026.70,1.3343e+02,2077.72,0.2
135,1,0.0663,2.9241e+02,6.5226e+01,1.83,9.7895e+01,35087.57,1.2902e+02,2027.14,0.2
136,1,0.0668,2.9281e+02,8.1334e+01,2.14,9.6904e+01,35323.01,1.2797e+02,2018.14,0.2
137,1,0.0621,3.0596e+02,8.2670e+01,2.08,9.8768e+01,34674.12,1.2994e+02,2040.91,0.2
138,1,0.0575,2.9940e+02,7.3383e+01,1.85,9.8825e+01,34663.98,1.3000e+02,2043.51,0.2
139,1,0.0475,3.0657e+02,7.6890e+01,1.88,9.9124e+01,34945.88,1.3034e+02,2046.41,0.2
140,1,0.0453,2.9562e+02,6.2722e+01,1.68,9.8596e+01,34904.66,1.2976e+02,2039.95,0.2
141,1,0.0465,2.9042e+02,6.3961e+01,1.74,9.7843e+01,35060.97,1.2895e+02,2023.92,0.2
142,1,0.0409,2.9083e+02,5.8785e+01,1.66,9.8319e+01,34921.40,1.2949e+02,2039.21,0.2
143,1,0.0392,2.9791e+02,6.7279e+01,1.82,9.8244e+01,34445.22,1.2943e+02,2035.84,0.2
144,1,0.0400,2.8939e+02,5.6897e+01,1.60,9.8036e+01,34791.68,1.2922e+02,2034.51,0.2
145,1,0.0416,3.0369e+02,7.4677e+01,1.77,9.9183e+01,34705.58,1.3037e+02,2049.92,0.2
146,1,0.0536,3.1297e+02,7.9338e+01,1.83,9.9086e+01,34548.92,1.3030e+02,2044.65,0.2
147,1,0.0555,3.1244e+02,7.4707e+01,1.61,9.9463e+01,35037.64,1.3059e+02,2044.24,0.2
148,1,0.0525,3.1553e+02,8.1802e+01,1.75,1.0009e+02,34893.64,1.3125e+02,2055.75,0.2
149,1,0.0503,2.8474e+02,6.2318e+01,1.75,9.6814e+01,34632.05,1.2799e+02,2024.91,0.2
150,1,0.0390,2.8984e+02,5.6159e+01,1.55,9.7900e+01,34547.91,1.2910e+02,2033.67,0.2
151,1,0.0443,2.8806e+02,7.3139e+01,1.72,9.6204e+01,34876.84,1.2735e+02,2011.95,0.2
152,1,0.0530,2.9333e+02,8.0795e+01,1.73,9.5871e+01,34951.92,1.2700e+02,2007.73,0.2
153,1,0.0643,2.8811e+02,6.7881e+01,2.00,9.9677e+01,35350.45,1.3082e+02,2065.74,0.2
154,1,0.0638,3.2913e+02,1.0165e+02,2.20,9.9495e+01,34073.81,1.3067e+02,2042.38,0.2
155,1,0.0632,3.3662e+02,1.0419e+02,1.95,1.0071e+02,34681.74,1.3200e+02,2069.34,0.2
