Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
1,1,3.0652,1.3406e+03,2.3791e+03,111.92,9.0493e+01,21001.22,4.2291e+01,633.42,0.4
2,1,1.9215,1.0221e+03,1.3289e+03,54.65,1.0540e+02,31173.20,4.9347e+01,784.38,0.2
3,1,1.6226,9.8701e+02,1.3792e+03,57.06,1.0955e+02,40106.74,5.1721e+01,823.21,0.2
4,1,1.4460,9.7335e+02,1.3546e+03,59.90,1.0835e+02,49419.58,5.0283e+01,791.05,0.2
5,1,1.4207,1.0616e+03,1.2250e+03,49.23,1.0015e+02,51013.30,4.5104e+01,702.03,0.2
6,1,1.5634,8.9314e+02,1.1855e+03,48.87,8.9934e+01,13030.20,4.3452e+01,730.16,0.2
7,1,1.3072,9.1675e+02,1.2115e+03,53.60,1.0955e+02,55333.67,5.0932e+01,781.44,0.2
8,1,1.1563,8.1354e+02,9.1141e+02,36.76,8.8085e+01,21973.69,4.2095e+01,647.39,0.2
9,1,1.0848,8.6862e+02,9.1027e+02,33.17,8.0583e+01,26154.94,3.8009e+01,573.68,0.2
10,1,1.2813,8.8926e+02,1.1242e+03,46.88,1.0835e+02,48348.11,5.0602e+01,806.49,0.2
11,1,1.2683,7.9541e+02,8.1802e+02,31.38,8.6909e+01,28600.54,4.1412e+01,653.63,0.2
12,1,1.1524,7.2414e+02,7.6169e+02,30.74,9.3830e+01,28568.28,4.4903e+01,717.71,0.2
13,1,0.9653,7.9526e+02,9.9670e+02,34.39,1.0664e+02,33429.69,5.1467e+01,840.48,0.2
14,1,1.0283,6.7516e+02,8.1475e+02,29.63,9.4436e+01,26514.93,4.5939e+01,743.85,0.2
15,1,0.8672,5.8031e+02,6.5989e+02,25.35,9.5133e+01,30905.65,4.6725e+01,699.45,0.2
16,1,0.8402,6.0753e+02,6.4922e+02,26.90,9.0920e+01,23435.99,4.4494e+01,699.83,0.2
17,1,0.9754,7.3323e+02,7.0977e+02,25.93,7.8932e+01,28677.44,3.8129e+01,595.18,0.2
18,1,0.9322,5.5932e+02,7.0908e+02,28.58,8.2878e+01,27865.96,4.0721e+01,645.67,0.2
19,1,0.6853,8.0150e+02,7.4740e+02,25.34,9.4557e+01,25279.46,4.6462e+01,661.43,0.2
20,1,1.0181,6.2723e+02,1.0239e+03,42.09,8.1269e+01,9331.02,4.1077e+01,673.65,0.2
21,1,1.0521,7.2913e+02,6.9522e+02,26.53,8.1761e+01,30813.25,3.9194e+01,636.82,0.2
22,1,0.7728,5.9839e+02,5.8374e+02,22.57,8.2461e+01,27679.60,4.0449e+01,629.04,0.2
23,1,0.6926,4.7357e+02,6.0898e+02,28.62,9.2814e+01,36450.31,4.5711e+01,691.45,0.2
24,1,1.0944,8.3466e+02,7.8368e+02,25.59,7.1403e+01,22628.03,3.3733e+01,566.22,0.2
25,1,1.0575,6.1128e+02,8.9816e+02,41.64,1.0568e+02,37272.70,5.1757e+01,787.37,0.2
26,1,0.9453,5.3205e+02,6.0672e+02,22.68,9.5174e+01,34395.47,4.6609e+01,723.19,0.2
27,1,1.0499,6.5373e+02,5.5074e+02,17.65,8.2640e+01,26712.69,3.9922e+01,664.32,0.2
28,1,0.9007,6.2343e+02,6.0711e+02,21.81,7.3137e+01,23361.12,3.5829e+01,588.59,0.2
29,1,0.7672,5.6213e+02,6.0193e+02,20.40,6.9986e+01,25982.85,3.4759e+01,550.91,0.2
30,1,0.6185,4.0782e+02,4.2963e+02,16.14,8.5526e+01,33128.84,4.2239e+01,653.78,0.2
31,1,0.4786,3.8955e+02,5.3292e+02,23.08,9.7571e+01,38631.38,4.7934e+01,728.10,0.2
32,1,0.7007,6.2648e+02,7.0436e+02,28.26,9.6417e+01,38638.85,4.6864e+01,737.36,0.2
33,1,0.7438,4.4290e+02,6.4787e+02,25.69,8.3881e+01,14244.43,4.1795e+01,671.21,0.2
34,1,0.7930,3.9659e+02,5.5960e+02,25.80,9.7533e+01,36875.11,4.8074e+01,727.03,0.2
35,1,0.5614,5.0898e+02,5.2065e+02,19.77,8.4821e+01,33412.72,4.2089e+01,642.83,0.2
36,1,0.6126,5.0575e+02,7.1084e+02,32.18,9.8881e+01,42697.44,4.8549e+01,742.98,0.2
37,1,0.6441,4.3147e+02,5.3715e+02,20.48,7.4290e+01,23976.42,3.7118e+01,579.98,0.2
