Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
1,1,1.8722,9.8444e+02,1.1521e+03,38.66,5.3257e+01,18993.55,3.8036e+01,581.76,0.8
2,1,1.2317,9.0773e+02,8.9014e+02,29.27,4.7171e+01,17214.57,3.4716e+01,509.40,0.2
3,1,1.0436,9.6290e+02,8.9439e+02,28.68,4.5667e+01,17131.14,3.2700e+01,465.56,0.2
4,1,1.0487,1.1462e+03,1.0473e+03,30.23,4.9809e+01,14963.67,3.7088e+01,537.49,0.2
5,1,1.0805,9.1024e+02,8.7484e+02,26.72,4.3521e+01,12971.17,3.1346e+01,444.91,0.2
6,1,1.0516,8.4519e+02,8.3735e+02,27.03,4.3896e+01,14070.27,3.2082e+01,451.02,0.2
7,1,1.0097,8.9786e+02,8.6468e+02,28.94,4.5420e+01,16412.67,3.3142e+01,472.76,0.2
8,1,0.9955,8.2818e+02,8.1995e+02,27.19,4.4748e+01,16022.17,3.3196e+01,480.04,0.2
9,1,0.9938,8.8579e+02,8.4347e+02,26.83,4.4014e+01,14351.09,3.1590e+01,446.57,0.2
10,1,1.0516,9.0776e+02,9.1401e+02,31.95,4.7310e+01,17005.56,3.4074e+01,487.70,0.2
11,1,1.0716,8.4800e+02,9.0397e+02,32.15,4.7640e+01,17187.55,3.5143e+01,510.72,0.2
12,1,1.0022,8.3123e+02,8.1115e+02,27.52,4.4597e+01,15797.53,3.2738e+01,460.80,0.2
13,1,0.9680,7.6096e+02,7.9131e+02,26.25,4.3963e+01,15116.58,3.3234e+01,472.09,0.2
14,1,0.9327,6.2381e+02,7.4414e+02,27.78,4.3340e+01,15805.79,3.3521e+01,467.56,0.2
15,1,0.9680,8.0661e+02,7.7558e+02,25.05,4.2916e+01,14395.22,3.2522e+01,469.06,0.2
16,1,0.9913,2.3764e+03,1.3272e+03,28.57,5.3552e+01,14952.93,3.8988e+01,515.21,0.2
17,1,1.0955,2.7066e+03,1.5154e+03,31.39,5.7454e+01,14611.12,4.0835e+01,568.46,0.2
18,1,1.1778,1.0537e+03,9.6721e+02,27.22,4.4682e+01,14965.97,3.0527e+01,426.32,0.2
19,1,1.0514,7.9785e+02,8.4383e+02,30.85,4.6084e+01,16849.56,3.4403e+01,487.63,0.2
20,1,1.0249,9.9611e+02,9.8739e+02,32.41,4.7530e+01,17019.94,3.2641e+01,454.77,0.2
21,1,1.0440,7.6649e+02,7.7664e+02,25.43,4.3878e+01,15309.07,3.2990e+01,471.56,0.2
22,1,0.9100,6.4079e+02,7.4255e+02,26.38,4.3595e+01,15185.78,3.3950e+01,480.77,0.2
23,1,0.8818,5.4415e+02,7.0174e+02,25.18,4.1876e+01,15197.89,3.4439e+01,487.33,0.2
24,1,0.8707,7.9015e+02,7.7354e+02,25.29,4.4543e+01,15791.31,3.2254e+01,459.84,0.2
25,1,0.8818,4.8318e+02,6.0943e+02,23.57,4.1378e+01,16025.53,3.3525e+01,480.76,0.2
26,1,0.9334,6.6183e+02,7.0235e+02,25.58,4.3979e+01,16820.77,3.3382e+01,475.55,0.2
27,1,0.8690,8.0365e+02,7.1981e+02,22.61,4.2570e+01,15303.46,3.2005e+01,460.01,0.2
28,1,0.8281,5.0940e+02,5.8227e+02,21.26,3.8702e+01,14714.04,3.2544e+01,462.70,0.2
29,1,0.8460,5.5698e+02,6.4775e+02,23.33,4.3587e+01,17024.39,3.5850e+01,528.47,0.2
30,1,0.8261,1.1876e+03,8.1696e+02,21.73,4.5089e+01,15749.36,3.7285e+01,520.59,0.2
31,1,0.8832,7.6873e+02,6.7201e+02,20.03,4.2669e+01,15199.33,3.1933e+01,467.21,0.2
32,1,0.7990,6.3586e+02,6.3739e+02,19.95,3.9695e+01,13772.92,3.2610e+01,457.97,0.2
33,1,0.8019,5.0900e+02,5.5376e+02,19.18,4.1508e+01,15994.05,3.4325e+01,494.89,0.2
34,1,0.7657,4.9278e+02,5.1008e+02,16.32,3.7459e+01,14373.05,3.0703e+01,438.77,0.2
35,1,0.7082,4.3277e+02,5.4695e+02,21.44,4.2225e+01,20257.03,3.5623e+01,518.66,0.2
36,1,0.7146,6.1565e+02,4.9925e+02,13.13,3.7951e+01,13903.62,3.1299e+01,480.38,0.2
37,1,0.5957,5.8842e+02,4.8866e+02,12.61,3.8646e+01,14284.95,3.0680e+01,450.17,0.2
