case_id,material_changing,group_changing,slope_up,cut_time
case_000,1,2,-0.12616,0.1737
case_003,1,1,-0.06851,0.278
case_007,3,2,-0.1497,0.2125
case_010,1,2,-0.20005,0.1054
case_011,3,2,-0.18921,0.2241
case_013,3,1,-0.12976,0.1629
case_014,1,2,-0.02637,0.2011
case_016,3,2,-0.08328,0.1801
case_017,3,2,-0.01414,0.1575
case_019,3,2,-0.148,0.2353
case_020,3,2,-0.12468,0.2358
case_021,1,2,-0.11492,0.3557
case_022,3,2,-0.23594,0.1144
case_023,3,2,-0.24946,0.1067
case_025,1,1,-0.09595,0.1112
case_026,1,1,-0.1014,0.2675
case_028,1,2,-0.26454,0.1178
case_029,1,1,-0.12022,0.1782
case_030,3,1,-0.02082,0.3828
case_031,3,1,-0.07475,0.3065
case_032,3,2,-0.02879,0.2855
case_033,3,2,-0.15389,0.2735
case_034,1,2,-0.01,0.2046
case_035,1,2,-0.05569,0.3326
case_036,3,2,-0.14897,0.1306
case_037,3,2,-0.12296,0.1017
case_038,1,2,-0.04689,0.286
case_039,1,1,-0.23793,0.1254
case_040,1,1,-0.22537,0.1167
case_043,3,2,-0.08796,0.1656
case_045,3,2,-0.21686,0.1648
case_047,1,2,-0.13572,0.1933
case_048,1,2,-0.02037,0.2426
case_050,1,2,-0.18056,0.1952
case_053,3,2,-0.02756,0.1856
case_055,3,1,-0.02355,0.2209
case_056,3,1,-0.08278,0.1762
case_057,3,1,-0.10394,0.2252
case_059,3,2,-0.11797,0.2627
case_060,1,2,-0.14297,0.2964
case_061,1,1,-0.19624,0.109
case_062,1,1,-0.0975,0.1395
case_063,3,2,-0.15734,0.1937
case_065,1,1,-0.06216,0.3424
case_066,3,2,-0.11573,0.2833
case_072,3,2,-0.01841,0.1278
case_073,3,1,-0.0811,0.2519
case_075,3,2,-0.23911,0.1488
case_078,1,2,-0.16565,0.1668
case_079,1,2,-0.08941,0.1515
case_080,3,2,-0.1388,0.1695
case_081,3,2,-0.15048,0.257
case_082,1,2,-0.23057,0.11
case_083,3,2,-0.05457,0.222
case_084,1,2,-0.26909,0.161
case_085,1,1,-0.01811,0.1476
case_087,1,2,-0.03969,0.2845
case_090,3,1,-0.12936,0.1453
case_091,3,1,-0.17049,0.1871
case_096,3,2,-0.11191,0.1153
case_097,3,1,-0.04777,0.1917
case_098,1,1,-0.17687,0.1345
case_099,1,2,-0.06689,0.3861
case_102,3,1,-0.1538,0.1026
case_105,3,2,-0.0164,0.1499
case_106,3,1,-0.18248,0.1775
case_107,3,1,-0.16213,0.146
case_109,3,2,-0.0702,0.3376
case_112,1,2,-0.11988,0.3079
case_113,1,2,-0.29767,0.132
case_114,1,2,-0.0312,0.1045
case_116,3,1,-0.07127,0.3658
case_123,3,2,-0.11399,0.3843
case_124,3,1,-0.05376,0.3096
case_126,3,1,-0.10964,0.1083
case_127,1,1,-0.0922,0.2029
case_128,3,1,-0.04219,0.1984
case_129,3,1,-0.05771,0.3798
case_130,1,2,-0.06001,0.2526
case_131,1,2,-0.0648,0.3579
case_133,3,2,-0.21833,0.1532
case_134,1,1,-0.07923,0.2491
case_135,1,1,-0.13269,0.2177
case_137,1,2,-0.06425,0.3102
case_138,1,1,-0.03692,0.125
case_139,3,2,-0.27876,0.1382
case_140,3,2,-0.07635,0.2504
case_142,3,1,-0.10647,0.216
case_144,3,2,-0.05057,0.2539
case_146,3,2,-0.09476,0.3736
case_148,1,1,-0.07217,0.3547
case_149,3,2,-0.10819,0.2131
case_154,1,2,-0.17777,0.196
case_155,1,2,-0.06234,0.155
case_156,3,1,-0.09916,0.1905
case_157,3,2,-0.1443,0.1192
case_159,3,2,-0.02442,0.1221
case_163,3,2,-0.18399,0.1292
case_164,3,1,-0.09085,0.1228
case_166,3,1,-0.03805,0.3049
case_169,3,1,-0.01229,0.2434
case_170,1,2,-0.08636,0.26
case_172,1,2,-0.09286,0.3299
case_175,1,2,-0.17978,0.1329
case_178,1,1,-0.15851,0.1195
case_179,1,2,-0.12212,0.1274
case_181,3,1,-0.057,0.2286
case_183,3,1,-0.08055,0.339
case_186,1,2,-0.08699,0.2232
case_188,3,2,-0.02517,0.3415
case_189,1,2,-0.14042,0.2344
case_190,3,2,-0.01569,0.3853
case_192,1,1,-0.0488,0.322
case_193,3,2,-0.0325,0.333
case_195,1,2,-0.15552,0.2609
case_197,1,1,-0.01284,0.1122
case_198,3,1,-0.07316,0.1839
case_202,1,2,-0.03058,0.1821
case_205,1,2,-0.04488,0.3643
case_207,3,1,-0.09412,0.1597
case_208,3,1,-0.03608,0.2269
case_210,3,2,-0.13681,0.3183
case_212,1,2,-0.059,0.3202
case_216,1,1,-0.08431,0.1359
case_219,1,1,-0.0995,0.2758
case_220,1,2,-0.13786,0.3021
case_221,3,2,-0.03425,0.3243
case_223,3,2,-0.04318,0.1517
case_229,1,2,-0.04046,0.2987
case_230,1,2,-0.07534,0.1981
case_231,1,2,-0.11079,0.1406
case_234,1,2,-0.10199,0.3793
case_235,3,1,-0.02225,0.2321
case_236,1,1,-0.05202,0.2889
case_237,1,2,-0.05122,0.1367
case_238,3,1,-0.0437,0.1844
case_239,1,2,-0.06589,0.2744
case_240,1,1,-0.03543,0.1708
case_241,1,2,-0.10535,0.2461
case_242,1,2,-0.19365,0.1583
case_247,3,1,-0.29099,0.1012
case_249,3,1,-0.07741,0.3606
