case_id,material_changing,group_changing,slope_up,cut_time
case_0000,1,2,-0.13667,0.2686
case_0001,3,2,-0.26139,0.1795
case_0002,1,1,-0.04473,0.3847
case_0003,3,1,-0.28481,0.2490
case_0004,3,2,-0.21757,0.2425
case_0005,3,1,-0.03023,0.1372
case_0006,1,2,-0.18425,0.2607
case_0007,3,2,-0.29064,0.1554
case_0008,1,1,-0.28027,0.1005
case_0009,3,1,-0.26862,0.3628
case_0010,1,1,-0.06585,0.3134
case_0011,3,1,-0.06040,0.3864
case_0012,3,1,-0.20906,0.2746
case_0013,1,1,-0.06724,0.3375
case_0014,1,2,-0.18959,0.1357
case_0015,1,2,-0.19173,0.3050
case_0016,3,1,-0.20959,0.3360
case_0017,3,1,-0.26382,0.2009
case_0018,1,2,-0.11214,0.2203
case_0019,1,1,-0.12998,0.1648
case_0020,1,1,-0.26540,0.1414
case_0021,1,2,-0.15774,0.1962
case_0022,3,2,-0.17254,0.2619
case_0023,1,2,-0.29130,0.2567
case_0024,1,1,-0.12450,0.1079
case_0025,3,2,-0.02123,0.2915
case_0026,3,2,-0.01445,0.1213
case_0027,1,2,-0.21102,0.2563
case_0028,1,1,-0.04957,0.2107
case_0029,3,2,-0.15372,0.1583
case_0030,1,2,-0.25960,0.3906
case_0031,1,1,-0.18753,0.3568
case_0032,3,1,-0.08637,0.2607
case_0033,3,2,-0.04928,0.3993
case_0034,3,1,-0.24040,0.3586
case_0035,1,2,-0.05127,0.2732
case_0036,1,2,-0.23075,0.1846
case_0037,3,2,-0.24148,0.2956
case_0038,1,1,-0.29880,0.3350
case_0039,1,2,-0.21530,0.1265
case_0040,3,2,-0.21960,0.2803
case_0041,3,1,-0.27776,0.3115
case_0042,1,1,-0.20045,0.1959
case_0043,1,2,-0.07502,0.3731
case_0044,1,1,-0.27175,0.3870
case_0045,3,2,-0.18019,0.1986
case_0046,1,2,-0.24474,0.2708
case_0047,3,2,-0.22586,0.1258
case_0048,3,1,-0.05865,0.3960
case_0049,3,1,-0.11062,0.3788
case_0050,3,2,-0.21266,0.1690
case_0051,3,2,-0.02945,0.1192
case_0052,1,1,-0.11507,0.1491
case_0053,1,1,-0.15120,0.1781
case_0054,1,2,-0.01436,0.1513
case_0055,3,1,-0.25032,0.2031
case_0056,1,2,-0.09360,0.3307
case_0057,3,2,-0.20579,0.1031
case_0058,1,2,-0.08320,0.2828
case_0059,3,2,-0.28663,0.1159
case_0060,3,1,-0.13163,0.1764
case_0061,3,2,-0.07098,0.2798
case_0062,3,2,-0.23030,0.1508
case_0063,1,2,-0.09990,0.1822
case_0064,3,2,-0.24407,0.2741
case_0065,1,2,-0.25221,0.2962
case_0066,1,1,-0.04179,0.1910
case_0067,1,1,-0.13862,0.2422
case_0068,1,1,-0.22174,0.2806
case_0069,1,1,-0.11327,0.1931
case_0070,1,1,-0.21569,0.3924
case_0071,3,2,-0.16806,0.1820
case_0072,1,2,-0.09623,0.3790
case_0073,1,2,-0.09335,0.1259
case_0074,1,2,-0.23907,0.3217
case_0075,1,2,-0.29391,0.3007
case_0076,3,1,-0.03211,0.1968
case_0077,3,1,-0.15450,0.1095
case_0078,3,2,-0.19780,0.2636
case_0079,3,2,-0.09690,0.3054
case_0080,1,2,-0.27276,0.1638
case_0081,3,1,-0.10486,0.1035
case_0082,3,2,-0.11190,0.2187
case_0083,1,2,-0.02747,0.2081
case_0084,1,1,-0.13157,0.2485
case_0085,3,1,-0.28976,0.1533
case_0086,3,2,-0.07450,0.1255
case_0087,1,2,-0.25237,0.3661
case_0088,3,2,-0.09529,0.1826
case_0089,1,2,-0.17099,0.2235
case_0090,1,2,-0.16145,0.2904
case_0091,3,1,-0.19330,0.1139
case_0092,1,2,-0.15244,0.3514
case_0093,3,2,-0.20682,0.1448
case_0094,1,1,-0.15980,0.2596
case_0095,3,2,-0.21639,0.2928
case_0096,1,1,-0.23516,0.2361
case_0097,1,1,-0.05508,0.3060
case_0098,1,2,-0.23467,0.1729
case_0099,3,1,-0.18224,0.1538
case_0100,1,2,-0.06886,0.3656
case_0101,1,1,-0.15844,0.3599
case_0102,3,2,-0.06262,0.3259
case_0103,1,2,-0.04813,0.1395
case_0104,3,2,-0.29636,0.3496
case_0105,1,1,-0.14414,0.1803
case_0106,1,2,-0.22837,0.2341
case_0107,1,2,-0.12575,0.2204
case_0108,3,1,-0.09299,0.1299
