case_id,material_changing,group_changing,slope_up,cut_time
case_0000,1,2,-0.13667,0.2686
case_0002,1,1,-0.04473,0.3847
case_0005,3,1,-0.03023,0.1372
case_0008,1,1,-0.28027,0.1005
case_0010,1,1,-0.06585,0.3134
case_0011,3,1,-0.0604,0.3864
case_0013,1,1,-0.06724,0.3375
case_0014,1,2,-0.18959,0.1357
case_0018,1,2,-0.11214,0.2203
case_0019,1,1,-0.12998,0.1648
case_0021,1,2,-0.15774,0.1962
case_0024,1,1,-0.1245,0.1079
case_0025,3,2,-0.02123,0.2915
case_0026,3,2,-0.01445,0.1213
case_0028,1,1,-0.04957,0.2107
case_0029,3,2,-0.15372,0.1583
case_0032,3,1,-0.08637,0.2607
case_0033,3,2,-0.04928,0.3993
case_0035,1,2,-0.05127,0.2732
case_0036,1,2,-0.23075,0.1846
case_0039,1,2,-0.2153,0.1265
case_0043,1,2,-0.07502,0.3731
case_0045,3,2,-0.18019,0.1986
case_0047,3,2,-0.22586,0.1258
case_0048,3,1,-0.05865,0.396
case_0050,3,2,-0.21266,0.169
case_0051,3,2,-0.02945,0.1192
case_0052,1,1,-0.11507,0.1491
case_0053,1,1,-0.1512,0.1781
case_0054,1,2,-0.01436,0.1513
case_0056,1,2,-0.0936,0.3307
case_0057,3,2,-0.20579,0.1031
case_0058,1,2,-0.0832,0.2828
case_0059,3,2,-0.28663,0.1159
case_0060,3,1,-0.13163,0.1764
case_0061,3,2,-0.07098,0.2798
case_0062,3,2,-0.2303,0.1508
case_0063,1,2,-0.0999,0.1822
case_0066,1,1,-0.04179,0.191
case_0069,1,1,-0.11327,0.1931
case_0071,3,2,-0.16806,0.182
case_0072,1,2,-0.09623,0.379
case_0073,1,2,-0.09335,0.1259
case_0076,3,1,-0.03211,0.1968
case_0077,3,1,-0.1545,0.1095
case_0079,3,2,-0.0969,0.3054
case_0080,1,2,-0.27276,0.1638
case_0081,3,1,-0.10486,0.1035
case_0082,3,2,-0.1119,0.2187
case_0083,1,2,-0.02747,0.2081
case_0086,3,2,-0.0745,0.1255
case_0088,3,2,-0.09529,0.1826
case_0089,1,2,-0.17099,0.2235
case_0091,3,1,-0.1933,0.1139
case_0093,3,2,-0.20682,0.1448
case_0097,1,1,-0.05508,0.306
case_0098,1,2,-0.23467,0.1729
case_0099,3,1,-0.18224,0.1538
case_0100,1,2,-0.06886,0.3656
case_0102,3,2,-0.06262,0.3259
case_0103,1,2,-0.04813,0.1395
case_0105,1,1,-0.14414,0.1803
case_0107,1,2,-0.12575,0.2204
case_0108,3,1,-0.09299,0.1299
case_0109,1,1,-0.12194,0.1541
case_0112,3,1,-0.06192,0.1047
case_0113,1,1,-0.07696,0.1337
case_0114,3,2,-0.07794,0.1788
case_0118,3,1,-0.11993,0.1885
case_0120,3,2,-0.02393,0.273
case_0121,3,2,-0.09347,0.1604
case_0122,3,1,-0.08009,0.1837
case_0125,1,1,-0.05015,0.3905
case_0126,3,2,-0.17137,0.2023
case_0127,1,2,-0.08045,0.2274
case_0128,1,2,-0.07859,0.1151
case_0132,3,1,-0.06176,0.3959
case_0133,1,1,-0.1568,0.1326
case_0134,1,2,-0.055,0.3571
case_0135,1,1,-0.03226,0.2336
case_0136,1,1,-0.01474,0.2648
case_0139,3,1,-0.17361,0.1734
case_0140,1,1,-0.07429,0.1735
case_0141,3,1,-0.01979,0.1405
case_0142,1,1,-0.12355,0.2141
case_0144,3,1,-0.2799,0.1082
case_0145,1,1,-0.09898,0.2262
case_0147,1,1,-0.08324,0.2506
case_0148,1,2,-0.07342,0.2289
case_0149,1,2,-0.04399,0.1769
